condition,scene_code,transition,probability
RAW,TL,L->L,0.76923076923076927
RAW,TL,L->C,0.2307692307692307
RAW,TL,L->R,0
RAW,TL,C->L,0.42857142857142849
RAW,TL,C->C,0.5714285714285714
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.81818181818181823
RAW,TL,L->C,0.1818181818181818
RAW,TL,L->R,0
RAW,TL,C->L,0.33333333333333331
RAW,TL,C->C,0.66666666666666663
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.90909090909090917
RAW,TL,L->C,0.090909090909090898
RAW,TL,L->R,0
RAW,TL,C->L,0.5
RAW,TL,C->C,0.5
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.66666666666666663
RAW,TL,L->C,0.33333333333333331
RAW,TL,L->R,0
RAW,TL,C->L,0.33333333333333331
RAW,TL,C->C,0.33333333333333331
RAW,TL,C->R,0.33333333333333331
RAW,TL,R->L,0
RAW,TL,R->C,1
RAW,TL,R->R,0
RAW,TL,L->L,0.90909090909090917
RAW,TL,L->C,0.090909090909090898
RAW,TL,L->R,0
RAW,TL,C->L,0
RAW,TL,C->C,1
RAW,TL,C->R,0
RAW,TL,R->L,0.5
RAW,TL,R->C,0
RAW,TL,R->R,0.5
RAW,TL,L->L,0.81818181818181823
RAW,TL,L->C,0.1818181818181818
RAW,TL,L->R,0
RAW,TL,C->L,0.2857142857142857
RAW,TL,C->C,0.5714285714285714
RAW,TL,C->R,0.14285714285714279
RAW,TL,R->L,0
RAW,TL,R->C,1
RAW,TL,R->R,0
RAW,TL,L->L,0.83333333333333337
RAW,TL,L->C,0.1666666666666666
RAW,TL,L->R,0
RAW,TL,C->L,0
RAW,TL,C->C,0.80000000000000004
RAW,TL,C->R,0.20000000000000001
RAW,TL,R->L,1
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.875
RAW,TL,L->C,0.125
RAW,TL,L->R,0
RAW,TL,C->L,0.5
RAW,TL,C->C,0.5
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.90909090909090917
RAW,TL,L->C,0.090909090909090898
RAW,TL,L->R,0
RAW,TL,C->L,0
RAW,TL,C->C,1
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.88888888888888884
RAW,TL,L->C,0.1111111111111111
RAW,TL,L->R,0
RAW,TL,C->L,0
RAW,TL,C->C,1
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.875
RAW,TL,L->C,0.125
RAW,TL,L->R,0
RAW,TL,C->L,0.10000000000000001
RAW,TL,C->C,0.90000000000000002
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.80000000000000004
RAW,TL,L->C,0.10000000000000001
RAW,TL,L->R,0.10000000000000001
RAW,TL,C->L,0
RAW,TL,C->C,1
RAW,TL,C->R,0
RAW,TL,R->L,1
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.7142857142857143
RAW,TL,L->C,0.2857142857142857
RAW,TL,L->R,0
RAW,TL,C->L,0.1666666666666666
RAW,TL,C->C,0.83333333333333337
RAW,TL,C->R,0
RAW,TL,R->L,0.33333333333333331
RAW,TL,R->C,0
RAW,TL,R->R,0.66666666666666663
RAW,TL,L->L,0.7142857142857143
RAW,TL,L->C,0.14285714285714279
RAW,TL,L->R,0.14285714285714279
RAW,TL,C->L,0.14285714285714279
RAW,TL,C->C,0.8571428571428571
RAW,TL,C->R,0
RAW,TL,R->L,0.5
RAW,TL,R->C,0.5
RAW,TL,R->R,0
RAW,TL,L->L,0.92307692307692324
RAW,TL,L->C,0.0769230769230769
RAW,TL,L->R,0
RAW,TL,C->L,0
RAW,TL,C->C,1
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.77777777777777779
RAW,TL,L->C,0.22222222222222221
RAW,TL,L->R,0
RAW,TL,C->L,0.125
RAW,TL,C->C,0.875
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.875
RAW,TL,L->C,0.125
RAW,TL,L->R,0
RAW,TL,C->L,0.10000000000000001
RAW,TL,C->C,0.90000000000000002
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.90000000000000002
RAW,TL,L->C,0.10000000000000001
RAW,TL,L->R,0
RAW,TL,C->L,0
RAW,TL,C->C,1
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.8571428571428571
RAW,TL,L->C,0.14285714285714279
RAW,TL,L->R,0
RAW,TL,C->L,0
RAW,TL,C->C,1
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.91666666666666663
RAW,TL,L->C,0.083333333333333301
RAW,TL,L->R,0
RAW,TL,C->L,0.20000000000000001
RAW,TL,C->C,0.80000000000000004
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,1
RAW,TL,L->C,0
RAW,TL,L->R,0
RAW,TL,C->L,0
RAW,TL,C->C,0
RAW,TL,C->R,0
RAW,TL,R->L,1
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.9285714285714286
RAW,TL,L->C,0.071428571428571397
RAW,TL,L->R,0
RAW,TL,C->L,1
RAW,TL,C->C,0
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.75
RAW,TL,L->C,0.25
RAW,TL,L->R,0
RAW,TL,C->L,0.083333333333333301
RAW,TL,C->C,0.91666666666666663
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.90000000000000002
RAW,TL,L->C,0.10000000000000001
RAW,TL,L->R,0
RAW,TL,C->L,0
RAW,TL,C->C,1
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.75
RAW,TL,L->C,0.25
RAW,TL,L->R,0
RAW,TL,C->L,0.0625
RAW,TL,C->C,0.9375
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.66666666666666663
RAW,TL,L->C,0.33333333333333331
RAW,TL,L->R,0
RAW,TL,C->L,0.1111111111111111
RAW,TL,C->C,0.88888888888888884
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.80000000000000004
RAW,TL,L->C,0.20000000000000001
RAW,TL,L->R,0
RAW,TL,C->L,0.1111111111111111
RAW,TL,C->C,0.88888888888888884
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.66666666666666663
RAW,TL,L->C,0.33333333333333331
RAW,TL,L->R,0
RAW,TL,C->L,0.1666666666666666
RAW,TL,C->C,0.83333333333333337
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.83333333333333337
RAW,TL,L->C,0.1666666666666666
RAW,TL,L->R,0
RAW,TL,C->L,0.25
RAW,TL,C->C,0.75
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.91666666666666663
RAW,TL,L->C,0.083333333333333301
RAW,TL,L->R,0
RAW,TL,C->L,0
RAW,TL,C->C,1
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.77777777777777779
RAW,TL,L->C,0.22222222222222221
RAW,TL,L->R,0
RAW,TL,C->L,0.25
RAW,TL,C->C,0.75
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.80000000000000004
RAW,TL,L->C,0.20000000000000001
RAW,TL,L->R,0
RAW,TL,C->L,0.40000000000000002
RAW,TL,C->C,0.59999999999999998
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.40000000000000002
RAW,TL,L->C,0.59999999999999998
RAW,TL,L->R,0
RAW,TL,C->L,0.33333333333333331
RAW,TL,C->C,0.66666666666666663
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.9285714285714286
RAW,TL,L->C,0.071428571428571397
RAW,TL,L->R,0
RAW,TL,C->L,0.14285714285714279
RAW,TL,C->C,0.8571428571428571
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.8571428571428571
RAW,TL,L->C,0.14285714285714279
RAW,TL,L->R,0
RAW,TL,C->L,0.40000000000000002
RAW,TL,C->C,0.59999999999999998
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,1
RAW,TL,L->C,0
RAW,TL,L->R,0
RAW,TL,C->L,0.33333333333333331
RAW,TL,C->C,0.33333333333333331
RAW,TL,C->R,0.33333333333333331
RAW,TL,R->L,0
RAW,TL,R->C,1
RAW,TL,R->R,0
RAW,TL,L->L,0.5
RAW,TL,L->C,0.5
RAW,TL,L->R,0
RAW,TL,C->L,0.5
RAW,TL,C->C,0.5
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.7142857142857143
RAW,TL,L->C,0.2857142857142857
RAW,TL,L->R,0
RAW,TL,C->L,0.25
RAW,TL,C->C,0.75
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.80000000000000004
RAW,TL,L->C,0.20000000000000001
RAW,TL,L->R,0
RAW,TL,C->L,0.33333333333333331
RAW,TL,C->C,0.66666666666666663
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.83333333333333337
RAW,TL,L->C,0.1666666666666666
RAW,TL,L->R,0
RAW,TL,C->L,0.5
RAW,TL,C->C,0.5
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.90909090909090917
RAW,TL,L->C,0.090909090909090898
RAW,TL,L->R,0
RAW,TL,C->L,0.14285714285714279
RAW,TL,C->C,0.8571428571428571
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.80000000000000004
RAW,TL,L->C,0.20000000000000001
RAW,TL,L->R,0
RAW,TL,C->L,0.25
RAW,TL,C->C,0.75
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.92307692307692324
RAW,TL,L->C,0.0769230769230769
RAW,TL,L->R,0
RAW,TL,C->L,0
RAW,TL,C->C,1
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.90909090909090917
RAW,TL,L->C,0.090909090909090898
RAW,TL,L->R,0
RAW,TL,C->L,0
RAW,TL,C->C,1
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.81818181818181823
RAW,TL,L->C,0.1818181818181818
RAW,TL,L->R,0
RAW,TL,C->L,0.25
RAW,TL,C->C,0.75
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.9285714285714286
RAW,TL,L->C,0.071428571428571397
RAW,TL,L->R,0
RAW,TL,C->L,0
RAW,TL,C->C,1
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.8571428571428571
RAW,TL,L->C,0.14285714285714279
RAW,TL,L->R,0
RAW,TL,C->L,0
RAW,TL,C->C,1
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.90909090909090917
RAW,TL,L->C,0.090909090909090898
RAW,TL,L->R,0
RAW,TL,C->L,0.25
RAW,TL,C->C,0.75
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.92307692307692324
RAW,TL,L->C,0.0769230769230769
RAW,TL,L->R,0
RAW,TL,C->L,0.5
RAW,TL,C->C,0.5
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.5714285714285714
RAW,TL,L->C,0.2857142857142857
RAW,TL,L->R,0.14285714285714279
RAW,TL,C->L,0.33333333333333331
RAW,TL,C->C,0.66666666666666663
RAW,TL,C->R,0
RAW,TL,R->L,1
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.80000000000000004
RAW,TL,L->C,0.20000000000000001
RAW,TL,L->R,0
RAW,TL,C->L,0.33333333333333331
RAW,TL,C->C,0.66666666666666663
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.5
RAW,TL,L->C,0.5
RAW,TL,L->R,0
RAW,TL,C->L,0.20000000000000001
RAW,TL,C->C,0.80000000000000004
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.625
RAW,TL,L->C,0.375
RAW,TL,L->R,0
RAW,TL,C->L,0.33333333333333331
RAW,TL,C->C,0.66666666666666663
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.8571428571428571
RAW,TL,L->C,0.14285714285714279
RAW,TL,L->R,0
RAW,TL,C->L,0
RAW,TL,C->C,1
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0
RAW,TL,L->C,0
RAW,TL,L->R,1
RAW,TL,C->L,0.14285714285714279
RAW,TL,C->C,0.8571428571428571
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0.5
RAW,TL,R->R,0.5
RAW,TL,L->L,0.66666666666666663
RAW,TL,L->C,0.33333333333333331
RAW,TL,L->R,0
RAW,TL,C->L,0.20000000000000001
RAW,TL,C->C,0.80000000000000004
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.7142857142857143
RAW,TL,L->C,0.2857142857142857
RAW,TL,L->R,0
RAW,TL,C->L,0.25
RAW,TL,C->C,0.75
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.83333333333333337
RAW,TL,L->C,0.1666666666666666
RAW,TL,L->R,0
RAW,TL,C->L,0
RAW,TL,C->C,1
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.7142857142857143
RAW,TL,L->C,0.2857142857142857
RAW,TL,L->R,0
RAW,TL,C->L,0.20000000000000001
RAW,TL,C->C,0.80000000000000004
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.88888888888888884
RAW,TL,L->C,0.1111111111111111
RAW,TL,L->R,0
RAW,TL,C->L,0
RAW,TL,C->C,1
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.66666666666666663
RAW,TL,L->C,0.33333333333333331
RAW,TL,L->R,0
RAW,TL,C->L,0.1666666666666666
RAW,TL,C->C,0.83333333333333337
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.875
RAW,TL,L->C,0.125
RAW,TL,L->R,0
RAW,TL,C->L,0
RAW,TL,C->C,1
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0
RAW,TL,L->C,1
RAW,TL,L->R,0
RAW,TL,C->L,0.33333333333333331
RAW,TL,C->C,0.66666666666666663
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.72727272727272729
RAW,TL,L->C,0.1818181818181818
RAW,TL,L->R,0.090909090909090898
RAW,TL,C->L,0.66666666666666663
RAW,TL,C->C,0.33333333333333331
RAW,TL,C->R,0
RAW,TL,R->L,0.33333333333333331
RAW,TL,R->C,0
RAW,TL,R->R,0.66666666666666663
RAW,TL,L->L,0.84615384615384615
RAW,TL,L->C,0.1538461538461538
RAW,TL,L->R,0
RAW,TL,C->L,0.5
RAW,TL,C->C,0.5
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.80000000000000004
RAW,TL,L->C,0.20000000000000001
RAW,TL,L->R,0
RAW,TL,C->L,0.1111111111111111
RAW,TL,C->C,0.88888888888888884
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.8571428571428571
RAW,TL,L->C,0.14285714285714279
RAW,TL,L->R,0
RAW,TL,C->L,0
RAW,TL,C->C,0.80000000000000004
RAW,TL,C->R,0.20000000000000001
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.90909090909090917
RAW,TL,L->C,0.090909090909090898
RAW,TL,L->R,0
RAW,TL,C->L,0.33333333333333331
RAW,TL,C->C,0.33333333333333331
RAW,TL,C->R,0.33333333333333331
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.33333333333333331
RAW,TL,L->C,0.66666666666666663
RAW,TL,L->R,0
RAW,TL,C->L,0.125
RAW,TL,C->C,0.875
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.5714285714285714
RAW,TL,L->C,0.2857142857142857
RAW,TL,L->R,0.14285714285714279
RAW,TL,C->L,0.5
RAW,TL,C->C,0.5
RAW,TL,C->R,0
RAW,TL,R->L,1
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.59999999999999998
RAW,TL,L->C,0.40000000000000002
RAW,TL,L->R,0
RAW,TL,C->L,0.125
RAW,TL,C->C,0.875
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.91666666666666663
RAW,TL,L->C,0.083333333333333301
RAW,TL,L->R,0
RAW,TL,C->L,0
RAW,TL,C->C,1
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.5
RAW,TL,L->C,0.5
RAW,TL,L->R,0
RAW,TL,C->L,0
RAW,TL,C->C,0.875
RAW,TL,C->R,0.125
RAW,TL,R->L,0
RAW,TL,R->C,0.25
RAW,TL,R->R,0.75
RAW,TL,L->L,0.25
RAW,TL,L->C,0.75
RAW,TL,L->R,0
RAW,TL,C->L,0.20000000000000001
RAW,TL,C->C,0.80000000000000004
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.66666666666666663
RAW,TL,L->C,0.33333333333333331
RAW,TL,L->R,0
RAW,TL,C->L,0.1111111111111111
RAW,TL,C->C,0.88888888888888884
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.33333333333333331
RAW,TL,L->C,0.66666666666666663
RAW,TL,L->R,0
RAW,TL,C->L,0.40000000000000002
RAW,TL,C->C,0.59999999999999998
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0
RAW,TL,L->C,1
RAW,TL,L->R,0
RAW,TL,C->L,0.20000000000000001
RAW,TL,C->C,0.80000000000000004
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,1
RAW,TL,R->R,0
RAW,TL,L->L,0.625
RAW,TL,L->C,0.375
RAW,TL,L->R,0
RAW,TL,C->L,0.2857142857142857
RAW,TL,C->C,0.7142857142857143
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.75
RAW,TL,L->C,0.25
RAW,TL,L->R,0
RAW,TL,C->L,0.1818181818181818
RAW,TL,C->C,0.63636363636363635
RAW,TL,C->R,0.1818181818181818
RAW,TL,R->L,0
RAW,TL,R->C,0.33333333333333331
RAW,TL,R->R,0.66666666666666663
RAW,TL,L->L,0
RAW,TL,L->C,0
RAW,TL,L->R,0
RAW,TL,C->L,0
RAW,TL,C->C,1
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.59999999999999998
RAW,TL,L->C,0.40000000000000002
RAW,TL,L->R,0
RAW,TL,C->L,0.75
RAW,TL,C->C,0.25
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.875
RAW,TL,L->C,0.125
RAW,TL,L->R,0
RAW,TL,C->L,0
RAW,TL,C->C,1
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.88888888888888884
RAW,TL,L->C,0.1111111111111111
RAW,TL,L->R,0
RAW,TL,C->L,0.125
RAW,TL,C->C,0.875
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.625
RAW,TL,L->C,0.375
RAW,TL,L->R,0
RAW,TL,C->L,0.22222222222222221
RAW,TL,C->C,0.77777777777777779
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.90000000000000002
RAW,TL,L->C,0.10000000000000001
RAW,TL,L->R,0
RAW,TL,C->L,0.1666666666666666
RAW,TL,C->C,0.83333333333333337
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.8571428571428571
RAW,TL,L->C,0.14285714285714279
RAW,TL,L->R,0
RAW,TL,C->L,0.1111111111111111
RAW,TL,C->C,0.88888888888888884
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.80000000000000004
RAW,TL,L->C,0.20000000000000001
RAW,TL,L->R,0
RAW,TL,C->L,0.5
RAW,TL,C->C,0.5
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.77777777777777779
RAW,TL,L->C,0.22222222222222221
RAW,TL,L->R,0
RAW,TL,C->L,0.20000000000000001
RAW,TL,C->C,0.80000000000000004
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.90000000000000002
RAW,TL,L->C,0.10000000000000001
RAW,TL,L->R,0
RAW,TL,C->L,0
RAW,TL,C->C,1
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.9285714285714286
RAW,TL,L->C,0.071428571428571397
RAW,TL,L->R,0
RAW,TL,C->L,0
RAW,TL,C->C,1
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.9285714285714286
RAW,TL,L->C,0.071428571428571397
RAW,TL,L->R,0
RAW,TL,C->L,0
RAW,TL,C->C,1
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.5
RAW,TL,L->C,0.5
RAW,TL,L->R,0
RAW,TL,C->L,0.1538461538461538
RAW,TL,C->C,0.84615384615384615
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.90000000000000002
RAW,TL,L->C,0.10000000000000001
RAW,TL,L->R,0
RAW,TL,C->L,0
RAW,TL,C->C,1
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.8571428571428571
RAW,TL,L->C,0.14285714285714279
RAW,TL,L->R,0
RAW,TL,C->L,0
RAW,TL,C->C,1
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.5
RAW,TL,L->C,0.5
RAW,TL,L->R,0
RAW,TL,C->L,0.25
RAW,TL,C->C,0.75
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0.20000000000000001
RAW,TL,R->R,0.80000000000000004
RAW,TL,L->L,0.8571428571428571
RAW,TL,L->C,0.14285714285714279
RAW,TL,L->R,0
RAW,TL,C->L,0.0769230769230769
RAW,TL,C->C,0.92307692307692324
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.75
RAW,TL,L->C,0.25
RAW,TL,L->R,0
RAW,TL,C->L,0.14285714285714279
RAW,TL,C->C,0.8571428571428571
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.83333333333333337
RAW,TL,L->C,0.1666666666666666
RAW,TL,L->R,0
RAW,TL,C->L,0
RAW,TL,C->C,1
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.92307692307692324
RAW,TL,L->C,0.0769230769230769
RAW,TL,L->R,0
RAW,TL,C->L,0
RAW,TL,C->C,1
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.83333333333333337
RAW,TL,L->C,0.1666666666666666
RAW,TL,L->R,0
RAW,TL,C->L,0
RAW,TL,C->C,1
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.83333333333333337
RAW,TL,L->C,0.1666666666666666
RAW,TL,L->R,0
RAW,TL,C->L,0.14285714285714279
RAW,TL,C->C,0.8571428571428571
RAW,TL,C->R,0
RAW,TL,R->L,0
RAW,TL,R->C,0
RAW,TL,R->R,0
RAW,TL,L->L,0.66666666666666663
RAW,TL,L->C,0.33333333333333331
RAW,TL,L->R,0
RAW,TL,C->L,0.1666666666666666
RAW,TL,C->C,0.83333333333333337
RAW,TL,C->R,0
